,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
280,2008-07-06 18:18:40,1215348520.0,bac,0.172,22.4,302.8776978417267,1262.9,-0.009501037196551983,302.88719887892324
281,2008-12-17 07:48:50,1229480330.0,bac,0.172,15.1,171.58273381294964,904.42,-28.392266155722,199.97499996867165
282,2008-01-23 06:24:01,1201049641.0,bac,0.172,37.39,572.4820143884892,1338.6,5.984069927633761,566.4979444608555
283,2013-01-22 16:39:21,1358852961.0,bac,0.172,11.29,103.05755395683454,1492.56,18.173900650821047,84.88365330601349
284,2008-07-02 11:09:36,1214977176.0,bac,0.172,23.81,328.23741007194246,1261.52,-0.1187629649570078,328.35617303689946
285,2006-02-24 09:34:41,1140753881.0,bac,0.172,45.37,716.0071942446042,1289.43,2.0910199363430575,713.9161743082611
286,2007-05-02 06:40:41,1178068241.0,bac,0.172,50.93,816.0071942446043,1495.92,18.439929692324753,797.5672645522795
287,2008-07-16 23:12:13,1216230133.0,bac,0.172,22.67,307.73381294964037,1245.36,-1.398235974093845,309.1320489237342
288,2011-09-25 20:30:29,1316962829.0,bac,0.172,6.31,13.489208633093527,1129.56,-10.566736868774845,24.055945501868372
289,2008-07-08 00:38:23,1215457703.0,bac,0.172,21.53,287.2302158273382,1273.7,0.8455923104939006,286.38462351684433
290,2003-10-26 16:27:11,1067165831.0,bac,0.172,81.86,1372.3021582733813,1033.77,-18.15093981092936,1390.4530980843108
291,2008-06-08 04:32:50,1212879770.0,bac,0.172,30.5,448.5611510791368,1404.05,11.166093965257872,437.3950571138789
292,2012-08-31 00:07:24,1346351844.0,bac,0.172,7.91,42.266187050359726,1406.58,11.366407499485357,30.89977955087437
293,2008-10-28 01:00:24,1225135824.0,bac,0.172,20.53,269.2446043165468,940.51,-25.53482921885639,294.7794335354032
294,2005-02-07 03:05:20,1107725720.0,bac,0.172,46.89,743.3453237410072,1201.72,-4.853446501243049,748.1987702422502
295,2011-11-04 13:41:42,1320394302.0,bac,0.172,6.91,24.280575539568357,1253.23,-0.7751262846194015,25.055701824187757
296,2004-10-14 00:15:51,1097693151.0,bac,0.172,45.01,709.5323741007194,1103.29,-12.646672261721905,722.1790463624413
297,2012-07-14 03:36:27,1342217187.0,bac,0.172,7.82,40.6474820143885,1341.45,6.209719561052086,34.43776245333642
298,2004-09-19 22:39:26,1095613766.0,bac,0.172,44.66,703.2374100719423,1123.5,-11.046539247201151,714.2839493191435
299,2009-02-03 17:07:42,1233661062.0,bac,0.172,5.515,-0.8093525179856103,838.51,-33.61071083593292,32.80135831794731
300,2007-02-27 20:49:31,1172589571.0,bac,0.172,51.43,825.0,1399.04,10.769425662301467,814.2305743376985
301,2009-01-07 12:53:10,1231312990.0,bac,0.172,14.28,156.8345323741007,906.65,-28.215705214485915,185.0502375885866
302,2013-05-16 21:45:30,1368720930.0,bac,0.172,13.36,140.28776978417267,1650.47,30.67647384839512,109.61129593577755
303,2012-03-01 23:19:11,1330624151.0,bac,0.172,8.12,46.0431654676259,1374.09,8.794001678516567,37.24916378910933
304,2007-05-28 07:27:48,1180317468.0,bac,0.172,51.2,820.8633093525182,1515.73,20.008392582856967,800.8549167696613
305,2006-12-06 22:26:24,1165424184.0,bac,0.172,52.69,847.6618705035971,1412.9,11.866795458504228,835.7950750450929
306,2003-12-07 14:02:47,1070785967.0,bac,0.172,75.11,1250.8992805755395,1069.72,-15.304587417459736,1266.2038679929992
307,2011-10-08 14:13:32,1318063412.0,bac,0.172,5.9,6.115107913669079,1144.03,-9.421070133489573,15.536178047158653
308,2012-03-10 02:13:15,1331325795.0,bac,0.172,8.05,44.78417266187053,1352.63,7.094899526531656,37.68927313533887
309,2008-12-04 23:53:00,1228414980.0,bac,0.172,14.34,157.91366906474823,845.22,-33.07944450602524,190.99311357077346
310,2011-09-02 05:03:57,1314920037.0,bac,0.172,7.91,42.266187050359726,1173.97,-7.0505613529476925,49.316748403307415
311,2008-12-20 20:31:57,1229785317.0,bac,0.172,13.8,148.20143884892093,904.42,-28.392266155722,176.59370500464294
312,2006-06-17 20:09:11,1150555151.0,bac,0.172,47.42,752.8776978417267,1230.04,-2.611201722854746,755.4888995645814
313,2008-07-10 01:45:15,1215634515.0,bac,0.172,22.06,296.7625899280576,1253.39,-0.7624582350239808,297.5250481630816
314,2007-02-22 09:12:23,1172115743.0,bac,0.172,53.91,869.6043165467624,1456.38,15.309337936058029,854.2949786107044
315,2006-04-07 05:05:00,1144366500.0,bac,0.172,46.2,730.9352517985612,1295.5,2.5716140678690773,728.3636377306922
316,2012-07-01 05:19:14,1341100154.0,bac,0.172,8.18,47.122302158273385,1329.04,5.227153964307769,41.89514819396562
317,2012-05-01 11:56:52,1335853612.0,bac,0.172,8.11,45.86330935251798,1405.82,11.30623426390714,34.557075088610844
318,2005-03-21 06:30:30,1111366830.0,bac,0.172,44.94,708.273381294964,1183.78,-6.273851562128867,714.5472328570928
319,2005-04-25 00:28:41,1114369121.0,scg,1.403,38.05,0.0,1162.1,0.0,0.0
320,2005-03-08 16:42:20,1110280340.0,scg,1.403,38.22,0.4467805519053921,1219.43,4.933310386369517,-4.486529834464125
321,2005-01-21 20:19:58,1106318998.0,scg,1.418,38.55,1.3140604467805521,1167.87,0.4965149298683403,0.8175455169122119
322,2008-06-16 18:59:03,1213622943.0,scg,1.279,39.67,4.257555847569001,1360.14,17.04156268823683,-12.784006840667828
323,2010-09-08 05:06:24,1283902584.0,scg,141.2,40.5,6.438896189224712,1098.87,-5.441011961104898,11.87990815032961
324,2013-05-23 18:42:15,1369314735.0,scg,133.86,51.86,36.294349540078855,1650.51,42.02822476551072,-5.733875225431866
325,2006-02-12 16:15:43,1139741143.0,scg,133.86,40.25,5.781865965834436,1263.78,8.74967730832115,-2.967811342486714
326,2008-12-31 22:58:48,1230744528.0,scg,1.36,35.6,-6.438896189224693,903.25,-22.27433095258583,15.835434763361139
327,2004-12-01 00:26:59,1101841019.0,scg,1.418,38.32,0.7095926412615062,1191.37,2.5187161173737187,-1.8091234761122124
328,2005-05-28 03:37:05,1117231625.0,scg,1.481,41.8,9.855453350854141,1190.01,2.401686601841501,7.45376674901264
329,2003-11-15 11:30:03,1068876003.0,scg,1.444,34.0,-10.643889618922465,1058.53,-8.912313914465187,-1.7315757044572777
330,2005-04-04 23:29:17,1112637557.0,fcx,1.677,39.16,0.0,1176.12,0.0,0.0
331,2007-05-15 21:54:14,1179246254.0,fcx,0.738,71.97,83.78447395301329,1501.19,27.639186477570334,56.145287475442956
332,2008-10-27 10:05:36,1225082136.0,fcx,0.36,24.86,-36.51685393258426,848.92,-27.82029044655307,-8.696563486031192
333,2007-10-25 00:46:08,1193253368.0,fcx,0.564,111.84,185.59754851889687,1514.4,28.762371186613628,156.83517733228325
334,2011-11-03 05:07:08,1320277028.0,fcx,19.58,39.78,1.583248212461707,1261.15,7.2297044519266915,-5.646456239464984
335,2005-01-30 12:33:11,1107068591.0,fcx,1.677,35.96,-8.171603677221645,1174.55,-0.13348977995442102,-8.038113897267223
336,2007-04-06 06:39:57,1175821797.0,fcx,0.278,67.57,72.5485188968335,1437.77,22.2468795701119,50.3016393267216
337,2012-03-05 02:19:30,1330894170.0,fcx,19.06,42.03,7.328907048008183,1364.33,16.002618780396563,-8.67371173238838
338,2007-06-19 11:15:38,1182231938.0,fcx,0.738,83.52,113.27885597548519,1533.7,30.403360201340014,82.87549577414518
339,2004-01-31 05:58:18,1075508898.0,fcx,2.872,36.86,-5.873340143003058,1128.48,-4.0506070809101,-1.8227330620929578
340,2012-06-26 21:46:59,1340727419.0,fcx,18.24,31.61,-19.279877425944836,1319.99,12.232595313403404,-31.51247273934824
341,2008-12-18 07:52:44,1229566964.0,fcx,0.36,26.01,-33.58018386108273,885.28,-24.728769173213614,-8.851414687869116
342,2013-04-23 18:55:15,1366723515.0,fcx,46.19,28.42,-27.42594484167517,1578.78,34.236302418120616,-61.66224725979579
343,2005-03-01 04:06:30,1109630190.0,fcx,1.677,41.82,6.79264555669051,1210.41,2.9155188246097503,3.8771267320807596
344,2008-05-03 22:36:33,1209834393.0,fcx,0.392,110.23,181.4862104187947,1385.59,17.810257456722105,163.6759529620726
345,2006-04-26 23:41:51,1146075111.0,fcx,0.392,65.57,67.44126659856997,1305.41,10.992925891915808,56.44834070665416
346,2004-11-21 15:31:21,1101031281.0,fcx,1.943,39.12,-0.10214504596526852,1183.55,0.6317382580008898,-0.7338833039661583
347,2011-09-03 12:13:56,1315032236.0,fcx,20.71,44.94,14.759959141981618,1218.89,3.6365336870387557,11.123425454942861
348,2011-11-07 23:40:42,1320689442.0,fcx,19.58,41.26,5.362614913176715,1261.12,7.227153691800157,-1.8645387786234418
349,2003-10-09 05:21:37,1065657097.0,fcx,6.68,37.4,-4.494382022471905,1038.73,-11.68163112607556,7.187249103603655
350,2008-12-30 17:40:38,1230639038.0,fcx,0.36,23.35,-40.37282941777323,890.64,-24.27303336394245,-16.099796053830783
351,2007-02-23 12:15:36,1172213136.0,fcx,0.278,59.56,52.09397344228807,1451.19,23.38791960004083,28.706053842247236
352,2013-04-04 23:55:33,1365099933.0,fcx,16.55,31.7,-19.050051072522976,1559.98,32.63782607216952,-51.68787714469249
353,2007-05-16 21:21:03,1179330663.0,fcx,0.738,71.29,82.0480081716037,1514.14,28.74026459885048,53.30774357275322
354,2012-01-03 13:31:09,1325577669.0,fcx,19.58,36.79,-6.052093973442282,1277.06,8.582457572356567,-14.63455154579885
355,2006-06-27 22:16:23,1151426783.0,fcx,0.591,49.8,27.170582226762008,1239.2,5.363398292691236,21.80718393407077
356,2006-11-28 12:48:02,1164698282.0,fcx,0.324,61.45,56.92032686414711,1386.72,17.906336088154283,39.01399077599282
357,2013-04-25 01:58:55,1366835335.0,fcx,46.19,29.78,-23.953013278855966,1585.16,34.77876407169339,-58.73177735054935
358,2012-03-28 20:36:00,1332947160.0,fcx,19.06,37.36,-4.596527068437174,1405.54,19.506512940856382,-24.103040009293558
359,2013-05-16 08:21:38,1368672698.0,ca,23.67,27.41,0.0,1650.47,0.0,0.0
360,2005-02-20 04:11:50,1108852910.0,ca,0.66,26.77,-2.334914264866839,1200.75,-27.247996025374594,24.913081760507755
361,2007-04-04 17:15:37,1175687137.0,ca,0.746,26.0,-5.14410798978475,1439.37,-12.790296097475274,7.646188107690524
362,2009-11-11 09:39:13,1257912553.0,ca,0.746,22.0,-19.737322145202484,1098.51,-33.44259513956631,13.705272994363824
363,2004-06-27 11:52:59,1088317379.0,ca,0.487,26.73,-2.4808464064210134,1140.65,-30.889383024229456,28.408536617808444
364,2013-02-06 15:53:51,1360146231.0,ca,26.62,24.91,-9.120758847136083,1512.12,-8.382460753603526,-0.7382980935325563
365,2010-04-16 16:45:18,1271416518.0,ca,26.62,22.89,-16.490331995622036,1192.13,-27.770271498421657,11.279939502799621
366,2003-10-08 21:26:55,1065628615.0,ca,0.52,28.96,5.654870485224373,1033.78,-37.36450829157755,43.01937877680192
367,2012-01-29 16:31:44,1327834904.0,ca,24.95,25.42,-7.2601240423203155,1318.43,-20.11790580864844,12.857781766328126
368,2007-03-14 08:11:12,1173840072.0,ca,0.746,25.05,-8.60999635169646,1387.17,-15.953031560706949,7.343035209010489
369,2004-10-10 03:49:33,1097360373.0,ca,0.479,26.54,-3.17402407880336,1130.65,-31.49527104400564,28.32124696520228
370,2006-08-14 13:24:19,1155542059.0,ca,0.387,21.66,-20.977745348412988,1268.21,-23.160675443964447,2.182930095551459
371,2005-01-31 08:27:43,1107140263.0,ca,0.66,26.42,-3.6118205034658826,1181.27,-28.4282658878986,24.81644538443272
372,2006-05-28 00:35:16,1148756716.0,ca,0.371,22.16,-19.153593578985774,1272.88,-22.877725738728962,3.7241321597431885
373,2006-10-23 12:22:17,1161586337.0,ca,0.396,25.08,-8.500547245530834,1377.02,-16.56800790077978,8.067460655248945
374,2008-04-07 11:07:25,1207546645.0,ca,0.699,23.24,-15.213425757022991,1372.54,-16.839445733639515,1.626019976616524
375,2008-03-12 11:24:39,1205301279.0,hcp,1.83,29.65,0.0,1308.77,0.0,0.0
376,2012-07-27 18:21:42,1343393502.0,hcp,82.92,47.0,58.5160202360877,1385.97,5.898668215194423,52.61735202089328
377,2011-08-14 16:31:03,1313319663.0,hcp,81.38,33.16,11.838111298482287,1172.64,-10.401369224539062,22.23948052302135
378,2005-03-29 08:38:36,1112065716.0,hcp,1.047,23.7,-20.067453625632375,1165.36,-10.957616693536686,-9.10983693209569
379,2006-10-28 13:06:34,1162020994.0,hcp,1.578,31.49,6.205733558178752,1382.22,5.61213964256516,0.5935939156135914
380,2006-02-28 23:54:14,1141151054.0,hcp,1.578,27.47,-7.3524451939291735,1280.66,-2.1478181804289447,-5.204627013500229
381,2004-05-16 21:50:46,1084724446.0,hcp,0.842,22.0,-25.801011804384483,1096.44,-16.22362982036568,-9.577381984018803
382,2013-05-12 08:05:40,1368326140.0,hcp,79.37,51.96,75.24451939291738,1626.67,24.289982197024695,50.954537195892684
383,2011-12-30 08:30:41,1325214041.0,hcp,82.34,41.76,40.843170320404724,1257.6,-3.9097778830505034,44.752948203455226
384,2008-03-28 02:24:50,1206651290.0,hcp,1.83,34.05,14.839797639123098,1315.22,0.49282914492233515,14.346968494200762
385,2005-01-30 00:40:37,1107025837.0,hcp,0.978,25.52,-13.929173693086,1174.55,-10.255430671546568,-3.6737430215394316
386,2007-04-07 14:33:41,1175936621.0,hcp,1.883,36.25,22.25969645868466,1439.37,9.978835089435112,12.28086136924955
387,2008-12-11 14:15:33,1228985133.0,hcp,1.124,25.04,-15.548060708263067,873.59,-33.25106779648066,17.703007088217596
388,2013-04-22 02:50:12,1366579212.0,hcp,80.99,52.71,77.77403035413155,1562.5,19.386905262192748,58.387125091938806
389,2004-09-29 15:17:04,1096451224.0,hcp,0.898,25.84,-12.849915682967955,1114.8,-14.82078592877282,1.9708702458048641
390,2011-11-01 11:07:59,1320125879.0,mpc,36.47,35.9,0.0,1218.28,0.0,0.0
391,2012-07-27 04:31:55,1343343715.0,mpc,36.03,45.82,27.632311977715883,1385.97,13.764487638309753,13.86782433940613
392,2013-04-29 14:44:32,1367226872.0,mpc,27.77,82.12,128.74651810584962,1593.61,30.808188593755126,97.9383295120945
393,2013-04-22 01:36:59,1366574819.0,mpc,27.77,78.75,119.35933147632313,1562.5,28.2545884361559,91.10474304016724
394,2012-01-28 06:10:10,1327711210.0,mpc,32.83,37.53,4.540389972144855,1326.06,8.846898906655284,-4.306508934510429
395,2012-01-28 15:18:37,1327744117.0,mpc,32.83,37.53,4.540389972144855,1326.06,8.846898906655284,-4.306508934510429
396,2011-12-29 08:17:38,1325126858.0,mpc,32.83,33.14,-7.688022284122558,1263.02,3.6723905834455146,-11.360412867568073
397,2011-12-21 22:53:02,1324488182.0,mpc,32.83,32.67,-8.997214484679656,1243.72,2.0881899070821204,-11.085404391761777
398,2006-02-18 09:04:19,1140233659.0,chk,32.83,29.73,0.0,1280.0,0.0,0.0
399,2005-02-07 04:46:41,1107731801.0,chk,0.978,18.22,-38.71510258997646,1201.72,-6.115624999999998,-32.59947758997646
400,2004-06-22 18:46:03,1087910163.0,chk,0.864,14.36,-51.69862092162799,1134.41,-11.374218749999994,-40.324402171627995
401,2012-01-02 19:36:40,1325513200.0,chk,72.62,22.29,-25.02522704339052,1257.6,-1.750000000000007,-23.27522704339051
402,2006-10-23 12:44:04,1161587644.0,chk,0.704,30.6,2.9263370332997005,1377.02,7.579687499999999,-4.653350466700298
403,2011-09-03 08:40:17,1315019417.0,chk,65.25,32.11,8.005381769256639,1218.89,-4.774218749999992,12.77960051925663
404,2012-09-23 06:58:26,1348363706.0,chk,73.63,19.36,-34.88059199461823,1460.26,14.0828125,-48.96340449461823
405,2004-03-02 13:14:15,1078213455.0,chk,1.278,13.14,-55.80221997981837,1149.1,-10.226562500000007,-45.57565747981836
406,2006-04-21 11:12:39,1145598159.0,chk,1.278,32.81,10.359905819038016,1311.28,2.443749999999998,7.916155819038018
407,2005-03-26 18:12:38,1111840958.0,chk,0.972,21.06,-29.16246215943492,1172.53,-8.396093750000002,-20.766368409434918
408,2012-05-09 09:12:54,1336534974.0,chk,69.24,16.93,-43.05415405314497,1354.58,5.826562499999994,-48.880716553144964
